year,CLF
1851,1.026513188
1852,1.026513188
1853,1.026513188
1854,1.026513188
1855,1.026513188
1856,1.026513188
1857,1.026513188
1858,1.026513188
1859,1.026513188
1860,1.026513188
1861,1.026513188
1862,1.026513188
1863,1.026513188
1864,1.026513188
1865,1.026513188
1866,1.026513188
1867,1.026513188
1868,1.026513188
1869,1.026513188
1870,1.026513188
1871,1.026513188
1872,1.026513188
1873,1.026513188
1874,1.026513188
1875,1.026513188
1876,1.026513188
1877,1.026513188
1878,1.026513188
1879,1.026513188
1880,1.026513188
1881,1.026513188
1882,1.026513188
1883,1.026513188
1884,1.026513188
1885,1.026513188
1886,1.026513188
1887,1.026513188
1888,1.026513188
1889,1.026513188
1890,1.026513188
1891,1.026513188
1892,1.026513188
1893,1.026513188
1894,1.026513188
1895,1.026513188
1896,1.026513188
1897,1.026513188
1898,1.026513188
1899,1.026513188
1900,1.026513188
1901,1.026513188
1902,1.026513188
1903,1.026513188
1904,1.026513188
1905,1.026513188
1906,1.026513188
1907,1.026513188
1908,1.026513188
1909,1.026513188
1910,1.026513188
1911,1.026513188
1912,1.026513188
1913,1.026513188
1914,1.026513188
1915,1.026513188
1916,1.026513188
1917,1.026513188
1918,1.026513188
1919,1.026513188
1920,1.026513188
1921,1.026513188
1922,1.026513188
1923,1.026513188
1924,1.026513188
1925,1.026513188
1926,1.026513188
1927,1.026513188
1928,1.026513188
1929,1.026513188
1930,1.026513188
1931,1.026513188
1932,1.026513188
1933,1.026513188
1934,1.026513188
1935,1.026513188
1936,1.026513188
1937,1.026513188
1938,1.026513188
1939,1.026513188
1940,1.026513188
1941,1.026513188
1942,1.026513188
1943,1.026513188
1944,1.026513188
1945,1.026513188
1946,1.026513188
1947,1.026513188
1948,1.026513188
1949,1.026513188
1950,1.026513188
1951,1.026513188
1952,1.026513188
1953,1.026513188
1954,1.026513188
1955,1.026513188
1956,1.026513188
1957,1.026513188
1958,1.026513188
1959,1.026513188
1960,1.026513188
1961,1.026513188
1962,1.026513188
1963,1.026513188
1964,1.026513188
1965,1.026513188
1966,1.026513188
1967,1.026513188
1968,1.026513188
1969,1.026513188
1970,1.026513188
1971,1.026513188
1972,1.026513188
1973,1.026513188
1974,1.026513188
1975,1.026513188
1976,1.026513188
1977,1.026513188
1978,1.026513188
1979,1.018844915
1980,1.016177296
1981,1.014116131
1982,1.012213713
1983,1.017875392
1984,1.016883323
1985,1.020552394
1986,1.017236112
1987,1.015050265
1988,1.018081845
1989,1.015911972
1990,1.004020979
1991,1.013922087
1992,1.008547676
1993,1.014365325
1994,1.009522647
1995,1.012388136
1996,1.01757464
1997,1.0100956
1998,1.012311782
1999,1.023068423
2000,1.008072491
2001,1.007854787
2002,1.011369363
2003,1.006081496
2004,1.013018908
2005,1.014117332
2006,1.011200042
2007,1.007595152
2008,0.999060193
2009,0.998358656
2010,0.998232492
2011,1.008840167
2012,1.002671399
2013,1.003430101
2014,1.007747463
