year,US Labor Share
1975,0.65681582
1976,0.65847575
1977,0.65573235
1978,0.65918513
1979,0.67198456
1980,0.67770746
1981,0.66057862
1982,0.66147316
1983,0.64965197
1984,0.64192773
1985,0.64534183
1986,0.65413646
1987,0.65232465
1988,0.64857509
1989,0.64896979
1990,0.65484359
1991,0.65133309
1992,0.65451856
1993,0.65305704
1994,0.64327988
1995,0.63916226
1996,0.63244379
1997,0.62940236
1998,0.64248628
1999,0.64636384
2000,0.65799712
2001,0.66213991
2002,0.65157623
2003,0.64656653
2004,0.63163937
2005,0.61860836
2006,0.60846387
2007,0.62265435
2008,0.6301039
2009,0.61672927
2010,0.59669728
2011,0.59789344
