year,CLF
1940,1.004852624
1941,1.008942944
1942,0.984577203
1943,0.983615412
1944,0.98590518
1945,1.067953955
1946,1.046036161
1947,1.021415333
1948,1.010969796
1949,1.015044219
1950,0.996929655
1951,1.001951078
1952,1.014113747
1953,1.009965881
1954,1.021683453
1955,1.023514756
1956,1.005664743
1957,1.010608257
1958,1.01079259
1959,1.018414779
1960,1.011934854
1961,1.002199861
1962,1.017262866
1963,1.017512842
1964,1.018661668
1965,1.017661675
1966,1.020812987
1967,1.017970962
1968,1.025362917
1969,1.025231006
1970,1.019463339
1971,1.031428504
1972,1.027517981
1973,1.028178779
1974,1.019858835
1975,1.02541189
1976,1.029649119
1977,1.032744498
1978,1.026513188
1979,1.018844915
1980,1.016177296
1981,1.014116131
1982,1.012213713
1983,1.017875392
1984,1.016883323
1985,1.020552394
1986,1.017236112
1987,1.015050265
1988,1.018081845
1989,1.015911972
1990,1.004020979
1991,1.013922087
1992,1.008547676
1993,1.014365325
1994,1.009522647
1995,1.012388136
1996,1.01757464
1997,1.0100956
1998,1.012311782
1999,1.023068423
2000,1.008072491
2001,1.007854787
2002,1.011369363
2003,1.006081496
2004,1.013018908
2005,1.014117332
2006,1.011200042
2007,1.007595152
2008,0.999060193
2009,0.998358656
2010,0.998232492
2011,1.008840167
2012,1.002671399
2013,1.003430101
2014,1.007747463
