,entranttoemployment
1978,0.007233737
1979,0.006724998
1980,0.006040581
1981,0.006170383
1982,0.006024887
1983,0.00596372
1984,0.006501551
1985,0.006292158
1986,0.006256374
1987,0.006353455
1988,0.005597973
1989,0.005240533
1990,0.005153349
1991,0.005129978
1992,0.005051583
1993,0.005089341
1994,0.005232549
1995,0.005205022
1996,0.005128231
1997,0.005038313
1998,0.004844782
1999,0.004553877
2000,0.004278738
2001,0.004133067
2002,0.00443664
2003,0.004455573
2004,0.004587573
2005,0.004727737
2006,0.00470298
2007,0.004392185
2008,0.004071383
2009,0.003585165
2010,0.003478192
2011,0.003552961
2012,0.00356036
2013,0.003451318
2014,0.003391202
