Year,Exit_Rate
1978,0.105457059
1979,0.084504554
1980,0.10324493
1981,0.101412827
1982,0.081251129
1983,0.091144007
1984,0.083875762
1985,0.087827244
1986,0.091557671
1987,0.095165121
1988,0.097596652
1989,0.093448248
1990,0.088080824
1991,0.085126066
1992,0.089508276
1993,0.086393737
1994,0.086034933
1995,0.085351535
1996,0.086822304
1997,0.087982115
1998,0.0887808
1999,0.08675253
2000,0.08418187
2001,0.083447808
2002,0.081643702
2003,0.08211526
2004,0.081544574
2005,0.082514482
2006,0.087024741
2007,0.083781807
2008,0.089799293
2009,0.093554792
2010,0.082870903
2011,0.081527024
2012,0.07377422
2013,0.073787065
2014,0.077953976
