Year,Startup Rate
1977,
1978,0.147452021
1979,0.143437342
1980,0.125492763
1981,0.12581936
1982,0.125819832
1983,0.120328447
1984,0.136417112
1985,0.132685307
1986,0.131349151
1987,0.133195288
1988,0.117073447
1989,0.112879945
1990,0.113245465
1991,0.108800672
1992,0.106165326
1993,0.108421739
1994,0.111665788
1995,0.113330773
1996,0.11153156
1997,0.110836678
1998,0.108341766
1999,0.103552704
2000,0.099868712
2001,0.097426185
2002,0.101634279
2003,0.102031682
2004,0.10510447
2005,0.108017387
2006,0.108541951
2007,0.101436436
2008,0.093066514
2009,0.078137256
2010,0.076648256
2011,0.080421476
2012,0.083177381
2013,0.08122841
2014,0.080412177
